Żywność,Kalorie,JednostkaKalorii,JednostkaWagi,Kategoria,Porcja,WagaPorcji
Pizza wegetariańska,256,kcal,g,pizza,kawałek,156
Pizza z czerwoną papryką,192,kcal,g,pizza,kawałek,156
Pizza z fetą i szpinakiem,242,kcal,g,pizza,kawałek,86
Pizza z kiełbasą,246,kcal,g,pizza,kawałek,62
Pizza z krewetkami,209,kcal,g,pizza,kawałek,72
Pizza z kurczakiem,234,kcal,g,pizza,kawałek,91
Pizza z owocami morza,245,kcal,g,pizza,kawałek,132
Pizza z pieczarkami,212,kcal,g,pizza,kawałek,76
Pizza z salami,255,kcal,g,pizza,kawałek,288
Pizza z serem,267,kcal,g,pizza,kawałek,71
Pizza z serem kozim,219,kcal,g,pizza,kawałek,63
Pizza z serem Mozzarella,249,kcal,g,pizza,kawałek,63
Pizza z tuńczykiem,254,kcal,g,pizza,kawałek,62
Pizza z warzywami,256,kcal,g,pizza,kawałek,125
Pizza ze szpinakiem,234,kcal,g,pizza,kawałek,156
Supreme Pizza z Pizza Hut,248,kcal,g,pizza,kawałek,62
Activia,74,kcal,g,jogurt,jogurt,125
Activia cytrynowa,100,kcal,g,jogurt,jogurt,113
Activia truskawkowa,97,kcal,g,jogurt,jogurt,113
Jogurt,61,kcal,g,jogurt,jogurt,113
Jogurt 0%,46,kcal,g,jogurt,jogurt,227
Jogurt brzoskwiniowy,97,kcal,g,jogurt,jogurt,227
Jogurt czekoladowy,128,kcal,g,jogurt,jogurt,113
Jogurt Danone Fantasia,120,kcal,g,jogurt,jogurt,227
Jogurt dietetyczny,54,kcal,g,jogurt,jogurt,122
Jogurt grecki,53,kcal,g,jogurt,jogurt,227
Jogurt grecki light,116,kcal,g,jogurt,jogurt,150
Jogurt jagodowy,105,kcal,g,jogurt,jogurt,227
Jogurt kozi,66,kcal,g,jogurt,jogurt,227
Jogurt malinowy,92,kcal,g,jogurt,jogurt,227
Jogurt Mocca,100,kcal,g,jogurt,jogurt,227
Jogurt niskotłuszczowy,63,kcal,g,jogurt,jogurt,227
Jogurt organiczny,75,kcal,g,jogurt,jogurt,227
Jogurt owoce leśne,115,kcal,g,jogurt,jogurt,227
Jogurt owocowy,97,kcal,g,jogurt,jogurt,227
Jogurt probiotyczny,80,kcal,g,jogurt,jogurt,227
Jogurt stracciatella,139,kcal,g,jogurt,jogurt,113
Jogurt truskawkowy,100,kcal,g,jogurt,jogurt,227
Jogurt waniliowy,101,kcal,g,jogurt,jogurt,227
Jogurt wiśniowy,97,kcal,g,jogurt,jogurt,227
Jogurt z mleka odtłuszczonego,56,kcal,g,jogurt,jogurt,227
Jogurt z muesli,109,kcal,g,jogurt,jogurt,227
Jogurt z ziarnami zbóż,110,kcal,g,jogurt,jogurt,227
Jogurt śmietankowy,90,kcal,g,jogurt,jogurt,150
Budyń z semoliny,67,kcal,g,mleko i produkty mleczne,łyżka,3
Creme Fraiche,393,kcal,g,mleko i produkty mleczne,porcja,143
Czekolada na gorąco,89,kcal,g,mleko i produkty mleczne,łyżka,14
Jogurt,61,kcal,g,mleko i produkty mleczne,szklanka,266
Kefir,55,kcal,g,mleko i produkty mleczne,szklanka,227
Kwaśna śmietana,181,kcal,g,mleko i produkty mleczne,szklanka,246
Lassi,75,kcal,g,mleko i produkty mleczne,łyżka,12
Maślanka,62,kcal,g,mleko i produkty mleczne,szklanka,200
Mleko,61,kcal,g,mleko i produkty mleczne,szklanka,254
Mleko bez laktozy,52,kcal,g,mleko i produkty mleczne,szklanka,244
Mleko kokosowe,230,kcal,g,mleko i produkty mleczne,szklanka,250
Mleko kozie,69,kcal,g,mleko i produkty mleczne,szklanka,240
Mleko migdałowe,17,kcal,g,mleko i produkty mleczne,szklanka,244
Mleko odtłuszczone,35,kcal,g,mleko i produkty mleczne,szklanka,235
Mleko pełne,61,kcal,g,mleko i produkty mleczne,szklanka,247
Mleko półtłuste,50,kcal,g,mleko i produkty mleczne,szklanka,244
Mleko ryżowe,49,kcal,g,mleko i produkty mleczne,porcja,250
Mleko skondensowane,321,kcal,g,mleko i produkty mleczne,szklanka,245
Mleko skondensowane słodzone,321,kcal,g,mleko i produkty mleczne,szklanka,306
Mleko sojowe,45,kcal,g,mleko i produkty mleczne,szklanka,306
Mleko w proszku,496,kcal,g,mleko i produkty mleczne,szklanka,243
Mus czekoladowy,225,kcal,g,mleko i produkty mleczne,szklanka,68
Ryż na mleku,118,kcal,g,mleko i produkty mleczne,2 szklanki,202
Serek wiejski,98,kcal,g,mleko i produkty mleczne,porcja,113
Tzatziki,117,kcal,g,mleko i produkty mleczne,szklanka,210
Zsiadłe mleko,98,kcal,g,mleko i produkty mleczne,łyżka,15
Śmietana do kawy,195,kcal,g,mleko i produkty mleczne,szklanka,210
Śmietanka,242,kcal,g,mleko i produkty mleczne,łyżka,15
Camembert,300,kcal,g,ser,plasterek,30
Cheddar,403,kcal,g,ser,plasterek,30
Chester,387,kcal,g,ser,plasterek,22
Emmentaler,357,kcal,g,ser,paczka,200
Feta,264,kcal,g,ser,plasterek,25
Fondue serowe,228,kcal,g,ser,paczka,200
Fontina,389,kcal,g,ser,paczka,400
Gorgonzola,350,kcal,g,ser,plasterek,30
Gouda,356,kcal,g,ser,paczka,200
Gruyere,413,kcal,g,ser,paczka,198
Halloumi,321,kcal,g,ser,plasterek,25
Havarti,371,kcal,g,ser,paczka,250
Jarlsberg,352,kcal,g,ser,plasterek,28
Mozzarella,280,kcal,g,ser,paczka,200
Neufchatel,253,kcal,g,ser,plasterek,28
Oscypek,386,kcal,g,ser,paczka,85
Parmesan,431,kcal,g,ser,sztuka,30
Pecorino,387,kcal,g,ser,łyżeczka,5
Provolone,351,kcal,g,ser,łyżka ,5
Ricotta,174,kcal,g,ser,plasterek,28
Roquefort,369,kcal,g,ser,szklanka,246
Ser Asiago,392,kcal,g,ser,paczka,150
Ser Baabybel,333,kcal,g,ser,paczka,200
Ser edamski,357,kcal,g,ser,sztuka,21
Ser grillowany,350,kcal,g,ser,paczka,198
Ser holenderski,393,kcal,g,ser,sztuka,83
Ser kozi,364,kcal,g,ser,paczka,150
Ser kozi wędzony,353,kcal,g,ser,paczka,250
Ser królewski,359,kcal,g,ser,porcja,200
Ser Maasdam,344,kcal,g,ser,plasterek,25
Ser Manchego,320,kcal,g,ser,plasterek,18
Ser miękki,268,kcal,g,ser,porcja,28
Ser Muenster,368,kcal,g,ser,paczka,150
Ser niebieski,353,kcal,g,ser,plasterek,28
Ser owczy,364,kcal,g,ser,paczka,150
Ser Raclette,357,kcal,g,ser,paczka,200
Ser Stilton,393,kcal,g,ser,plasterek,25
Ser szwajcarski,380,kcal,g,ser,paczka,200
Ser tostowy,274,kcal,g,ser,plasterek,25
Ser tylżycki,322,kcal,g,ser,plasterek,20
Ser włoski,397,kcal,g,ser,plasterek,42
Ser żółty wędzony,313,kcal,g,ser,porcja,30
Serek homogenizowany,131,kcal,g,ser,plasterek,42
Serek topiony,290,kcal,g,ser,łyżka ,12
Serek topiony,316,kcal,g,ser,łyżka ,15
Serek ziarnisty,98,kcal,g,ser,szklanka,200
Tarty parmezan,431,kcal,g,ser,szklanka,210
Twaróg chudy,113,kcal,g,ser,łyżeczka,5
